asset,time,AdrActCnt,BlkSizeMeanByte,CapMrktCurUSD,CapRealUSD,FlowInExNtv,FlowInExNtv-status,FlowInExNtv-status-time,FlowOutExNtv,FlowOutExNtv-status,FlowOutExNtv-status-time,TxTfrValAdjNtv,NVT,MVRV,ExchNetFlow
eth,2025-01-18 00:00:00+00:00,519864.0,80942.8667783829,398057734252.41455,315869357128.5695,412976.9946554369,flash,2025-01-19T03:18:10.007332000Z,373971.9113314927,flash,2025-01-19T03:18:10.089308000Z,2395591.031696935,166162.64169700423,1.2601973735945255,39005.08332394424
eth,2025-01-19 00:00:00+00:00,591559.0,80280.89832402233,386083988735.3412,314679346714.67975,523699.2035736084,flash,2025-01-20T02:59:43.470656000Z,549314.563125696,flash,2025-01-20T02:59:43.556606000Z,3083769.328333153,125198.72520556791,1.226912388010657,-25615.35955208761
eth,2025-01-20 00:00:00+00:00,629557.0,78497.78067484662,395886086566.6308,315120639866.1968,533828.151197938,flash,2025-01-21T02:40:55.525938000Z,501543.4015437383,flash,2025-01-21T03:08:54.048146000Z,3072089.313243981,128865.42225837627,1.2563000847381112,32284.74965419969
eth,2025-01-21 00:00:00+00:00,607071.0,76482.42757368347,400373649144.64526,315651906512.2632,576358.4726282388,flash,2025-01-22T03:55:47.384896000Z,589256.883470825,flash,2025-01-22T04:21:43.837430000Z,2907289.018220288,137713.74178331124,1.2684024423248357,-12898.410842586192
eth,2025-01-22 00:00:00+00:00,597537.0,76535.38557075075,390381491143.7904,315001347429.8384,495093.6776884849,flash,2025-01-23T03:47:38.652147000Z,425495.1000644952,flash,2025-01-23T04:13:48.489002000Z,2432988.005966388,160453.52060366204,1.2393010199130712,69598.57762398972
eth,2025-01-23 00:00:00+00:00,608180.0,78933.1726448011,401974417097.8328,316244335212.18945,545020.6138913808,flash,2025-01-24T03:20:43.111310000Z,505017.779093722,flash,2025-01-24T03:47:40.182764000Z,2730081.713591992,147238.96911091046,1.2710881187108738,40002.83479765884
eth,2025-01-24 00:00:00+00:00,630744.0,82329.98465401786,398916921924.6882,315620116954.0553,509608.316336768,flash,2025-01-25T03:15:04.068840000Z,484911.4262910756,flash,2025-01-25T03:41:05.318903000Z,2518775.26297787,158377.33829935308,1.2639147522486929,24696.890045692388
eth,2025-01-25 00:00:00+00:00,789004.0,80673.98855068415,400494578912.9483,316304192407.07874,335738.37023983826,flash,2025-01-26T03:12:29.825106000Z,321888.9886961913,flash,2025-01-26T03:38:32.947760000Z,1472778.6719531764,271931.2728652015,1.2661690503220324,13849.381543646974
eth,2025-01-26 00:00:00+00:00,608826.0,78038.39424822004,390565988392.6153,314749839323.411,162829.6533078282,flash,2025-01-27T02:29:44.172543000Z,155688.06578479052,flash,2025-01-27T02:57:20.606491000Z,1028124.7876177768,379881.8908914537,1.2408774829946834,7141.587523037684
eth,2025-01-27 00:00:00+00:00,554206.0,80176.93574017283,382072529629.23,312830509296.0653,574666.6658838143,flash,2025-01-28T02:03:06.013952000Z,591882.8622418531,flash,2025-01-28T02:03:25.221949000Z,3057891.0520764627,124946.4167043438,1.2213403689076676,-17216.19635803881
eth,2025-01-28 00:00:00+00:00,549777.0,79728.5742809271,370059573640.8847,310790421142.094,505097.2178570906,flash,2025-01-29T02:46:14.514933000Z,508634.36222549673,flash,2025-01-29T02:46:31.081615000Z,2754069.453639648,134368.27933000436,1.190704566379453,-3537.144368406094
eth,2025-01-29 00:00:00+00:00,544023.0,77032.95545314898,376446334509.3501,310584354466.687,283260.76530834805,flash,2025-01-30T02:36:11.010766000Z,281562.01455935615,flash,2025-01-30T02:36:27.561684000Z,1651204.0670075712,227982.9259332996,1.2120582672483826,1698.750748991908
eth,2025-01-30 00:00:00+00:00,543074.0,76448.6285235836,392379608742.7721,311915901166.9578,356455.87255423306,flash,2025-01-31T02:10:30.990723000Z,331532.864777236,flash,2025-01-31T02:10:47.359112000Z,1752330.6066004843,223918.70989686545,1.2579660327504265,24923.00777699705
eth,2025-01-31 00:00:00+00:00,539938.0,76920.46164594102,396818341582.0773,312836604699.40704,540968.8311403906,flash,2025-02-01T03:09:37.384048000Z,563268.1365711448,flash,2025-02-01T03:09:52.270852000Z,3167048.793703616,125295.93556341434,1.268452398540015,-22299.305430754204
eth,2025-02-01 00:00:00+00:00,533961.0,73733.4761904762,376015537831.2432,310337069710.00977,214886.7888928021,flash,2025-02-02T01:47:14.477604000Z,213745.04619128164,flash,2025-02-02T01:47:33.101109000Z,1314034.427889142,286153.4902363804,1.211635909891802,1141.742701520474
