asset,time,AdrActCnt,BlkSizeMeanByte,CapMrktCurUSD,CapRealUSD,FlowInExNtv,FlowInExNtv-status,FlowInExNtv-status-time,FlowOutExNtv,FlowOutExNtv-status,FlowOutExNtv-status-time,TxTfrValAdjNtv,NVT,MVRV,ExchNetFlow
doge,2025-03-02 00:00:00+00:00,74531,16645.879825200293,35499851593.824455,25352194409.96852,,,,,,,907757111.5686928,39.10721396880852,1.4002674095882548,
doge,2025-03-03 00:00:00+00:00,76476,39945.80543318649,29618669971.50319,25241233991.868244,,,,,,,1150907375.9995377,25.73505964872284,1.173424008550659,
doge,2025-03-04 00:00:00+00:00,74922,45990.83781818182,29472882535.859043,25221627729.08539,,,,,,,797388736.4237666,36.961749256758864,1.1685559255904463,
doge,2025-03-05 00:00:00+00:00,73020,71998.92715231788,30367399689.79484,25177684758.107048,,,,,,,755485555.4726157,40.19587068186584,1.2061235964127617,
doge,2025-03-06 00:00:00+00:00,91497,61869.08560885609,30000009023.18848,25167800011.839027,,,,,,,792466732.1842192,37.85649012735412,1.1919996586541677,
doge,2025-03-07 00:00:00+00:00,78530,51763.32585083273,29302170412.950657,24706108302.310658,,,,,,,1553459073.6408763,18.862531308452507,1.186029384085965,
doge,2025-03-08 00:00:00+00:00,269398,59222.28792341679,28493944774.058952,24610735289.845573,,,,,,,338795903.32980955,84.1035694174873,1.1577851875809495,
doge,2025-03-09 00:00:00+00:00,78837,36189.66666666666,24882841585.87012,24465946836.777576,,,,,,,673766855.924944,36.93093741114806,1.0170397962471602,
doge,2025-03-10 00:00:00+00:00,106300,36312.501090909085,22999433427.68018,24258950500.274235,,,,,,,1154160280.3969688,19.92741720393429,0.9480803148273124,
doge,2025-03-11 00:00:00+00:00,81860,28481.66196136701,24433042970.49713,24269357568.58861,,,,,,,1248268276.3308992,19.573551161866,1.0067445296582709,
doge,2025-03-12 00:00:00+00:00,391453,73838.70183150182,25508336321.092903,24286098576.334663,,,,,,,982619827.8989213,25.95951719764896,1.0503266401936306,
