asset,time,AdrActCnt,BlkSizeMeanByte,CapMrktCurUSD,CapRealUSD,FlowInExNtv,FlowInExNtv-status,FlowInExNtv-status-time,FlowOutExNtv,FlowOutExNtv-status,FlowOutExNtv-status-time,TxTfrValAdjNtv,NVT,MVRV,ExchNetFlow
neo,2025-02-05 00:00:00+00:00,49,703.786949247072,1075876826.2428,3008904542.6348176,,,,,,,2931,367068.1768143296,0.3575642932496234,
neo,2025-02-06 00:00:00+00:00,39,708.5404350250976,1039438844.32086,3008529648.6748657,,,,,,,10930,95099.6197914785,0.34549729126940476,
neo,2025-02-07 00:00:00+00:00,43,699.7063909774436,1036959747.57866,3008493059.785917,,,,,,,10651,97357.97085519294,0.34467746043344694,
neo,2025-02-08 00:00:00+00:00,27,709.5557862941288,1078628280.45385,3008886034.097561,,,,,,,905,1191854.4535401657,0.358480935545755,
neo,2025-02-09 00:00:00+00:00,53,708.1440726035167,1045484055.32569,3008556162.4097586,,,,,,,11942,87546.81421250125,0.34750358606843834,
neo,2025-02-10 00:00:00+00:00,36,706.5746974281392,1101109481.88427,3009092524.896575,,,,,,,11643,94572.66012919952,0.3659274258846913,
neo,2025-02-11 00:00:00+00:00,43,706.030996030996,1091034724.58094,3008994264.5177784,,,,,,,12409,87922.85636078169,0.3625911612549349,
neo,2025-02-12 00:00:00+00:00,47,702.3393228674106,1160173614.05634,3009622199.3998337,,,,,,,3385,342739.6201052703,0.3854881234886216,
neo,2025-02-13 00:00:00+00:00,26,705.7311725452812,1131710724.14413,3009346670.805576,,,,,,,7197,157247.56483870084,0.37606525533370366,
neo,2025-02-14 00:00:00+00:00,39,705.3771417812088,1144092687.23273,3009392597.025239,,,,,,,1869,612141.6197071857,0.38017395548977445,
neo,2025-02-15 00:00:00+00:00,39,701.3678182500938,1099572912.8864,3008933026.532048,,,,,,,1971,557875.6534177575,0.3654361540089561,
neo,2025-02-16 00:00:00+00:00,32,704.022159090909,1088077757.67982,3008802665.305113,,,,,,,544,2000142.936911434,0.3616314789356522,
neo,2025-02-17 00:00:00+00:00,36,698.2779763024262,1088283839.02592,3008788169.792044,,,,,,,1700,640166.9641328941,0.36170171431548065,
neo,2025-02-18 00:00:00+00:00,30,706.3340229452698,1046010497.24469,3008376368.5628166,,,,,,,1446,723382.086614585,0.3476993464565731,
neo,2025-02-19 00:00:00+00:00,22,699.7387133182845,1063448902.98099,3008482646.002712,,,,,,,2843,374058.70664122055,0.35348347592895885,
neo,2025-02-20 00:00:00+00:00,32,698.227555053642,1097850355.63284,3008828540.1861506,,,,,,,1825,601561.838702926,0.36487634339074637,
neo,2025-02-21 00:00:00+00:00,41,702.3157099697885,1041431411.63883,3008297014.616693,,,,,,,7329,142097.34092493245,0.3461863660997335,
neo,2025-02-22 00:00:00+00:00,35,701.4508397810908,1077117346.08259,3008642845.25952,,,,,,,5924,181822.64451090313,0.3580077136040652,
neo,2025-02-23 00:00:00+00:00,35,702.7782608695652,1059468589.75726,3008478681.5005264,,,,,,,853,1242049.9293754513,0.35216090985522064,
neo,2025-02-24 00:00:00+00:00,37,709.2919652961147,943039984.667908,2988237797.377757,,,,,,,9328,101097.76851071055,0.3155839824713568,
neo,2025-02-25 00:00:00+00:00,48,699.1490847329685,956590762.245951,2988228908.9521565,,,,,,,38674,24734.72519640976,0.32011963989110404,
neo,2025-02-26 00:00:00+00:00,33,695.4311027332704,944643783.19317,2988103798.465653,,,,,,,4169,226587.61889977692,0.31613486240947536,
neo,2025-02-27 00:00:00+00:00,29,704.1470921450151,951765725.564632,2988162569.4803367,,,,,,,2178,436990.69126016164,0.3185120298626025,
neo,2025-02-28 00:00:00+00:00,51,711.4757134757135,960044292.445136,2988184974.170569,,,,,,,32014,29988.264273290933,0.32128007494302313,
neo,2025-03-01 00:00:00+00:00,28,697.9475179992421,958960550.03628,2988221640.590812,,,,,,,2930,327290.29011477134,0.3209134613745319,
neo,2025-03-02 00:00:00+00:00,33,703.7409454822722,1028411103.63712,2992867693.379777,,,,,,,1619,635213.77618105,0.34362063712738294,
neo,2025-03-03 00:00:00+00:00,55,704.734028436019,875270191.009798,2991596692.072857,,,,,,,197373,4434.599418409803,0.2925762664897618,
neo,2025-03-04 00:00:00+00:00,54,702.8888257575758,874595047.498862,2980206678.54737,,,,,,,251077,3483.3738155978526,0.2934679174416059,
neo,2025-03-05 00:00:00+00:00,47,704.4562464562465,917998937.119019,2982702296.943752,,,,,,,330026,2781.595804933608,0.30777424151905924,
neo,2025-03-06 00:00:00+00:00,28,699.4428274428274,900360532.098056,2982514364.3901505,,,,,,,335446,2684.0699608820973,0.3018796968249161,
neo,2025-03-07 00:00:00+00:00,38,700.366407877296,887382823.774646,2982399303.765354,,,,,,,242363,3661.3791039665543,0.29753991112266653,
neo,2025-03-08 00:00:00+00:00,28,699.3957583790949,873555813.253713,2982305271.6440954,,,,,,,94306,9262.992951177157,0.2929129427357838,
neo,2025-03-09 00:00:00+00:00,41,702.2762535477767,793359232.421382,2981460481.7723646,,,,,,,25936,30589.112909522748,0.2660975173985067,
