asset,time,AdrActCnt,BlkSizeMeanByte,CapMrktCurUSD,CapRealUSD,FlowInExNtv,FlowInExNtv-status,FlowInExNtv-status-time,FlowOutExNtv,FlowOutExNtv-status,FlowOutExNtv-status-time,TxTfrValAdjNtv,NVT,MVRV,ExchNetFlow
omg,2025-04-02 00:00:00+00:00,67,,28028967.05517214,191947600.87078607,,,,,,,258314.22394010075,108.50725379207783,0.1460240551484698,
omg,2025-04-03 00:00:00+00:00,77,,28152983.95358364,191937274.93963408,,,,,,,324677.16433556465,86.71069926090212,0.1466780434516328,
omg,2025-04-04 00:00:00+00:00,63,,28601583.334203,191954955.9815384,,,,,,,264743.6938385796,108.03499384443148,0.1490015362612143,
omg,2025-04-05 00:00:00+00:00,64,,28305408.702365126,191944785.60287645,,,,,,,306627.4224769655,92.31205895973471,0.1474664113091746,
omg,2025-04-06 00:00:00+00:00,75,,26378797.93920823,191518144.1778476,,,,,,,1571707.357561148,16.783530224189303,0.1377352420181784,
omg,2025-04-07 00:00:00+00:00,101,,25819203.759331696,190903930.5068844,,,,,,,6233915.195435873,4.141731632511633,0.1352471040841173,
omg,2025-04-08 00:00:00+00:00,72,,25650440.12851329,190833963.0646996,,,,,,,2633945.486957382,9.73840964269293,0.1344123431520251,
omg,2025-04-09 00:00:00+00:00,108,,27573048.386687536,190854992.2714751,,,,,,,944350.8667322696,29.19788540259232,0.1444711928072974,
omg,2025-04-10 00:00:00+00:00,110,,26847541.675691247,190830856.8368276,,,,,,,757236.4165698679,35.454636211640924,0.14068763364956,
omg,2025-04-11 00:00:00+00:00,98,,27442856.353819706,190853616.87422395,,,,,,,674841.2354775922,40.66564832007948,0.1437900774597583,
omg,2025-04-12 00:00:00+00:00,92,,28567910.76642019,191043149.68855825,,,,,,,801132.5896852323,35.659404116420504,0.1495364309737987,
omg,2025-04-13 00:00:00+00:00,58,,27128405.28683389,190899409.2177912,,,,,,,1109218.3645443693,24.45722695727036,0.1421083773804869,
omg,2025-04-14 00:00:00+00:00,97,,26485376.44259593,190475307.41067845,,,,,,,1106280.1030900744,23.94093174831281,0.1390488709672564,
omg,2025-04-15 00:00:00+00:00,106,,26222989.00543676,190451202.6082337,,,,,,,3115523.2609997704,8.41688114921081,0.1376887551578163,
omg,2025-04-16 00:00:00+00:00,78,,25303805.793838844,188737126.04907823,,,,,,,2118135.72055312,11.946262719761473,0.1340690426072238,
omg,2025-04-17 00:00:00+00:00,91,,25534079.636491843,188712971.4142753,,,,,,,800090.6772632163,31.91398220490896,0.1353064362514738,
omg,2025-04-18 00:00:00+00:00,80,,25881233.73777108,188764255.32236,,,,,,,1966641.220578622,13.160119632881662,0.1371087640166444,
omg,2025-04-19 00:00:00+00:00,90,,26851075.67605534,188907539.83284563,,,,,,,2702951.37603921,9.933983982871998,0.1421387187605875,
omg,2025-04-20 00:00:00+00:00,77,,26579405.82464961,188842364.65059355,,,,,,,1399627.5320686456,18.990342227239072,0.1407491686191722,
omg,2025-04-21 00:00:00+00:00,67,,26577062.363246888,188839091.7894468,,,,,,,795447.8241146632,33.41144642997455,0.1407391981787329,
omg,2025-04-22 00:00:00+00:00,94,,28258983.872245938,189079532.9177859,,,,,,,1401036.948857882,20.17004897357097,0.1494555409364867,
omg,2025-04-23 00:00:00+00:00,118,,28505365.24265775,188979406.0532193,,,,,,,2095394.684945008,13.603816716470224,0.1508384740855319,
omg,2025-04-24 00:00:00+00:00,79,,28317873.16620748,188950343.2788191,,,,,,,955691.901582552,29.6307556015859,0.1498693925335771,
omg,2025-04-25 00:00:00+00:00,93,,28970085.46882028,189082349.3611488,,,,,,,1630360.3738666484,17.769130023758674,0.1532141184341177,
omg,2025-04-26 00:00:00+00:00,86,,29715492.17066194,189181409.1665204,,,,,,,2403059.0233553904,12.36569384349545,0.1570740608264837,
omg,2025-04-27 00:00:00+00:00,94,,28817174.90568762,189051966.88425937,,,,,,,1806221.9097389283,15.954393394471037,0.1524299132170889,
omg,2025-04-28 00:00:00+00:00,101,,29588113.748165343,189135831.94165283,,,,,,,1955511.9950194512,15.130622478166408,0.15643843604047,
omg,2025-04-29 00:00:00+00:00,86,,28667876.740701128,185138753.2407283,,,,,,,1149287.821927118,24.94403594447823,0.154845359163813,
omg,2025-04-30 00:00:00+00:00,82,,28624605.48622549,185093856.3663084,,,,,,,731098.5605548854,39.15286806815778,0.1546491388108324,
omg,2025-05-01 00:00:00+00:00,93,,28866203.403316647,185064723.09003788,,,,,,,1106938.9096650688,26.07750360139641,0.1559789619617166,
omg,2025-05-02 00:00:00+00:00,60,,29263561.639840648,185073588.77186924,,,,,,,1518667.77784367,19.26923193260311,0.1581185183365755,
omg,2025-05-03 00:00:00+00:00,91,,28236835.322208304,184981703.79266927,,,,,,,600014.1722339621,47.06028062150169,0.1526466387932973,
omg,2025-05-04 00:00:00+00:00,71,,26996542.833738446,184744346.3392398,,,,,,,942538.6403885288,28.642372500091938,0.1461291962037398,
omg,2025-05-05 00:00:00+00:00,92,,27118734.589913897,184634277.2073581,,,,,,,914660.129922592,29.64897419570368,0.1468781149420999,
omg,2025-05-06 00:00:00+00:00,61,,27270138.980025724,184654795.9417323,,,,,,,1136719.8476632282,23.990202191054685,0.1476817260063518,
omg,2025-05-07 00:00:00+00:00,68,,27043195.455481187,184629734.6162395,,,,,,,586293.9404250479,46.12566085174882,0.1464725901908031,
omg,2025-05-08 00:00:00+00:00,92,,28989469.943473242,184937578.02110568,,,,,,,2023803.0138383976,14.324254754661649,0.15675272842691207,
omg,2025-05-09 00:00:00+00:00,101,,29568861.992953088,185025878.7261526,,,,,,,2188773.296604387,13.509330563757127,0.15980933151905988,
omg,2025-05-10 00:00:00+00:00,83,,31061265.831306424,185299206.2339964,,,,,,,2663127.7859009053,11.663453025330048,0.16762762487002866,
omg,2025-05-11 00:00:00+00:00,87,,30169052.01118288,185170050.6377844,,,,,,,1351314.1227388834,22.325713543225135,0.16292619625728402,
omg,2025-05-12 00:00:00+00:00,125,,29957591.711300448,185164387.04893047,,,,,,,1698309.0828392494,17.639658183548697,0.1617891657718394,
omg,2025-05-13 00:00:00+00:00,100,,30328669.018635288,185074652.889429,,,,,,,1203253.0472466543,25.20556177940701,0.16387262407432338,
omg,2025-05-14 00:00:00+00:00,110,,30300804.263903335,185002837.83730504,,,,,,,1903218.6140393647,15.920821728195127,0.16378561874034836,
omg,2025-05-15 00:00:00+00:00,117,,28401787.379999805,184492360.17074764,,,,,,,2220440.817201896,12.79105804575801,0.153945601615774,
omg,2025-05-16 00:00:00+00:00,103,,28703226.95709933,184538155.70092207,,,,,,,1650823.011696251,17.387222466450982,0.15554087905602662,
omg,2025-05-17 00:00:00+00:00,86,,28186609.312717397,184451623.5154068,,,,,,,1364973.0718443631,20.649938005466595,0.1528130182620108,
omg,2025-05-18 00:00:00+00:00,60,,28894488.578589648,184520047.15176827,,,,,,,622329.8184346649,46.429542218091754,0.15659267935707738,
omg,2025-05-19 00:00:00+00:00,98,,28696057.248824544,184589161.68722573,,,,,,,731146.0252383664,39.24805204195581,0.15545905830293621,
